year,title,authors,decision,confidence,matched_terms,url
2025,Counterfactual Generative Modeling with Variational Causal Inference,"Yulun Wu, Louis McConnell, Claudia Iriondo",ICLR 2025 Poster,high,gene expression,https://openreview.net/forum?id=oeDcgVC7Xh
2025,Efficient Evolutionary Search Over Chemical Space with Large Language Models,"Haorui Wang, Marta Skreta, Cher Tian Ser, Wenhao Gao, Lingkai Kong, Felix Strieth-Kalthoff, Chenru Duan, Yuchen Zhuang, Yue Yu, Yanqiao Zhu, Yuanqi Du, Alan Aspuru-Guzik, Kirill Neklyudov, Chao Zhang",ICLR 2025 Poster,low,mutation,https://openreview.net/forum?id=awWiNvQwf3
2025,Difference-of-submodular Bregman Divergence,"Masanari Kimura, Takahiro Kawashima, Tasuku Soma, Hideitsu Hino",ICLR 2025 Poster,low,mutation,https://openreview.net/forum?id=vr1QdCNJmN
2025,SymmetricDiffusers: Learning Discrete Diffusion on Finite Symmetric Groups,"Yongxing Zhang, Donglin Yang, Renjie Liao",ICLR 2025 Oral,low,mutation,https://openreview.net/forum?id=EO8xpnW7aX
2025,Linear Mode Connectivity in Differentiable Tree Ensembles,"Ryuichi Kanoh, Mahito Sugiyama",ICLR 2025 Spotlight,low,mutation,https://openreview.net/forum?id=UqYNPyotxL
2025,CLIBD: Bridging Vision and Genomics for Biodiversity Monitoring at Scale,"ZeMing Gong, Austin Wang, Xiaoliang Huo, Joakim Bruslund Haurum, Scott C. Lowe, Graham W. Taylor, Angel X Chang",ICLR 2025 Poster,high,DNA; genom,https://openreview.net/forum?id=d5HUnyByAI
2025,Duoduo CLIP: Efficient 3D Understanding with Multi-View Images,"Han-Hung Lee, Yiming Zhang, Angel X Chang",ICLR 2025 Poster,low,mutation,https://openreview.net/forum?id=iGbuc9ekKK
2025,Boltzmann Semantic Score: A Semantic Metric for Evaluating Large Vision Models Using Large Language Models,"Ali Khajegili Mirabadi, Katherine Rich, Hossein Farahani, Ali Bashashati",ICLR 2025 Poster,high,genom,https://openreview.net/forum?id=9yJKTosUex
2025,Scalable Universal T-Cell Receptor Embeddings from Adaptive Immune Repertoires,"Paidamoyo Chapfuwa, Ilker Demirel, Lorenzo Pisani, Javier Zazo, Elon Portugaly, H. Jabran Zahid, Julia Greissl",ICLR 2025 Poster,high,sequencing,https://openreview.net/forum?id=wyF5vNIsO7
2025,Learning Molecular Representation in a Cell,"Gang Liu, Srijit Seal, John Arevalo, Zhenwen Liang, Anne E Carpenter, Meng Jiang, Shantanu Singh",ICLR 2025 Poster,high,gene expression,https://openreview.net/forum?id=BbZy8nI1si
2025,R2Det: Exploring Relaxed Rotation Equivariance in 2D Object Detection,"Zhiqiang Wu, Yingjie Liu, Hanlin Dong, Xuan Tang, Jian Yang, Bo Jin, Mingsong Chen, Xian Wei",ICLR 2025 Poster,low,mutation,https://openreview.net/forum?id=EUeNr3e8AV
2025,MeToken: Uniform Micro-environment Token Boosts Post-Translational Modification Prediction,"Cheng Tan, Zhenxiao Cao, Zhangyang Gao, Lirong Wu, Siyuan Li, Yufei Huang, Jun Xia, Bozhen Hu, Stan Z. Li",ICLR 2025 Poster,high,proteom,https://openreview.net/forum?id=noUF58SMra
2025,Boltzmann-Aligned Inverse Folding Model as a Predictor of Mutational Effects on Protein-Protein Interactions,"Xiaoran Jiao, Weian Mao, Wengong Jin, Peiyuan Yang, Hao Chen, Chunhua Shen",ICLR 2025 Spotlight,low,mutation,https://openreview.net/forum?id=lzdFImKK8w
2025,Diffusion Models are Evolutionary Algorithms,"Yanbo Zhang, Benedikt Hartl, Hananel Hazan, Michael Levin",ICLR 2025 Poster,low,mutation,https://openreview.net/forum?id=xVefsBbG2O
2025,HELM: Hierarchical Encoding for mRNA Language Modeling,"Mehdi Yazdani-Jahromi, Mangal Prakash, Tommaso Mansi, Artem Moskalev, Rui Liao",ICLR 2025 Poster,high,RNA-seq,https://openreview.net/forum?id=MMHqnUOnl0
2025,Learning stochastic dynamics from snapshots through regularized unbalanced optimal transport,"Zhenyi Zhang, Tiejun Li, Peijie Zhou",ICLR 2025 Oral,high,RNA-seq; gene regulat; single-cell,https://openreview.net/forum?id=gQlxd3Mtru
2025,Weakly Supervised Video Scene Graph Generation via Natural Language Supervision,"Kibum Kim, Kanghoon Yoon, Yeonjun In, Jaehyeong Jeon, Jinyoung Moon, Donghyun Kim, Chanyoung Park",ICLR 2025 Poster,high,genom,https://openreview.net/forum?id=GQgPj1H4pO
2025,Recovering Manifold Structure Using Ollivier Ricci Curvature,"Tristan Luca Saidi, Abigail Hickok, Andrew J. Blumberg",ICLR 2025 Spotlight,high,RNA-seq; sequencing; single-cell,https://openreview.net/forum?id=aX7X9z3vQS
2025,CURIE: Evaluating LLMs on Multitask Scientific Long-Context Understanding and Reasoning,"Hao Cui, Zahra Shamsi, Gowoon Cheon, Xuejian Ma, Shutong Li, Maria Tikhanovskaya, Peter Christian Norgaard, Nayantara Mudur, Martyna Beata Plomecka, Paul Raccuglia, Yasaman Bahri, Victor V. Albert, Pranesh Srinivasan, Haining Pan, Philippe Faist, Brian A Rohr, Michael J. Statt, Dan Morris, Drew Purves, Elise Kleeman, Ruth Alcantara, Matthew Abraham, Muqthar Mohammad, Ean Phing VanLee, Chenfei Jiang, Elizabeth Dorfman, Eun-Ah Kim, Michael Brenner, Sameera S Ponda, Subhashini Venugopalan",ICLR 2025 Poster,high,sequencing,https://openreview.net/forum?id=jw2fC6REUB
